id,lon,lat,year,month,day,hour,drogue,u,v,sst,season
60751420,39.703,-9.033,2015,9,30,6,1,-0.088,0.2985,26.633,SE
60751420,39.691,-8.968,2015,9,30,12,1,-0.072,0.3161,26.889,SE
60751420,39.675,-8.909,2015,9,30,18,1,-0.0939,0.3357,26.734,SE
60751420,39.654,-8.837,2015,10,1,0,1,-0.1053,0.3064,26.579,IN
60751420,39.633,-8.789,2015,10,1,6,1,-0.0641,0.2586,26.601,IN
60751420,39.629,-8.736,2015,10,1,12,1,-0.0219,0.284,26.739,IN
60751420,39.625,-8.679,2015,10,1,18,1,0.0047,0.3248,26.643,IN
60751420,39.631,-8.609,2015,10,2,0,1,0.0071,0.3297,26.517,IN
60751420,39.628,-8.55,2015,10,2,6,1,0.0178,0.3145,26.58,IN
60751420,39.638,-8.487,2015,10,2,12,1,0.0193,0.3475,26.904,IN
60751420,39.635,-8.414,2015,10,2,18,1,-0.0196,0.3517,26.721,IN
60751420,39.63,-8.349,2015,10,3,0,1,-0.012,0.2992,26.555,IN
60751420,39.631,-8.297,2015,10,3,6,1,-0.0349,0.3031,26.645,IN
60751420,39.617,-8.231,2015,10,3,12,1,-0.1565,0.1634,26.736,IN
60751420,39.569,-8.233,2015,10,3,18,1,-0.0645,-0.0124,26.576,IN
60751420,39.591,-8.236,2015,10,4,0,0,0.0478,-0.0615,26.519,IN
60751420,39.566,-8.251,2015,10,4,6,0,0.1034,-0.0375,26.674,IN
60751420,39.606,-8.244,2015,10,4,12,0,NaN,NaN,26.906,IN
